A1BG	NM_130786
A1CF	NM_014576
A2M	NM_000014
A2ML1	NM_144670
A3GALT2	NM_001080438
A4GALT	NM_017436
A4GNT	NM_016161
AACS	NM_023928
AADAC	NM_001086
AADACL2	NM_207365
AADACL3	NM_001103170
AADACL4	NM_001013630
AADAT	NM_016228
AAED1	NM_153698
AAGAB	NM_024666
AAK1	NM_014911
AAMDC	NM_024684
AAMP	NM_001087
AANAT	NM_001088
AAR2	NM_015511
AARD	NM_001025357
AARS	NM_001605
AARS2	NM_020745
AARSD1	NM_001261434
AASDH	NM_181806
AASDHPPT	NM_015423
AASS	NM_005763
AATF	NM_012138
AATK	NM_004920
ABAT	NM_020686
ABCA1	NM_005502
ABCA10	NM_080282
ABCA12	NM_173076
ABCA13	NM_152701
ABCA2	NM_001606
ABCA3	NM_001089
ABCA4	NM_000350
ABCA5	NM_018672
ABCA6	NM_080284
ABCA7	NM_019112
ABCA8	NM_007168
ABCB1	NM_000927
ABCB10	NM_012089
ABCB11	NM_003742
ABCB4	NM_000443
ABCB5	NM_178559
ABCB6	NM_005689
ABCB7	NM_004299
ABCB8	NM_007188
ABCB9	NM_019624
ABCC1	NM_004996
ABCC10	NM_033450
ABCC11	NM_032583
ABCC12	NM_033226
ABCC2	NM_000392
ABCC4	NM_005845
ABCC5	NM_005688
ABCC8	NM_000352
ABCC9	NM_005691
ABCD1	NM_000033
ABCD2	NM_005164
ABCD3	NM_002858
ABCD4	NM_005050
ABCE1	NM_002940
ABCF2	NM_005692
ABCF3	NM_018358
ABCG1	NM_207174
ABCG2	NM_004827
ABCG4	NM_022169
ABCG5	NM_022436
ABCG8	NM_022437
ABHD1	NM_032604
ABHD10	NM_018394
ABHD12	NM_015600
ABHD13	NM_032859
ABHD14A	NM_015407
ABHD14B	NM_032750
ABHD15	NM_198147
ABHD17A	NM_031213
ABHD17B	NM_016014
ABHD17C	NM_021214
ABHD5	NM_016006
ABHD6	NM_020676
ABHD8	NM_024527
ABI1	NM_005470
ABI2	NM_005759
